kode_rs,nama_rs,alamat,telepon,kode_bps,kelas,kepemilikan,pemilik_raw,jenis_rs,lat,lng,is_valid_coord,needs_geocoding,sumber_data,coverage_periode
3578810,RS Ubaya,Jl. Panjang Jiwo Permai No. 89,(031)99211515,3578,B,swasta,Perusahaan,RSU,-7.313898,112.766362,1,0,SIRS Kemenkes,2026-LIVE
3517111,RS Hasyim Asy'ari,Jl. Cukir-Parkir Makam Gus Dur,0321-3083300,3517,D,swasta,SWASTA/LAINNYA,RSU,-7.612006,112.227123,1,0,SIRS Kemenkes,2026-LIVE
3507260,RS Umum Daerah Ngantang,Jl. Raya Kaumrejo No 47,( 0341 ) 523039,3507,D,pemerintah,Pemkab,RSU,,,0,1,SIRS Kemenkes,2026-LIVE
3502158,RS Umum Daerah Bantarangin,Jl. Diponegoro No. 4,0352-6603000,3502,D,pemerintah,Pemkab,RSU,-7.866152,111.408531,1,0,SIRS Kemenkes,2026-LIVE
3503062,RS Umum Daerah Panggul,Jl. Raya Panggul No. 21,082142219224,3503,D,pemerintah,Pemkab,RSU,-8.249634,111.453549,1,0,SIRS Kemenkes,2026-LIVE
3574080,RS Umum Daerah Ar Rozy,JL. Prof Hamka KM 3.5,(0335) 4490009,3574,C,pemerintah,Pemkab,RSU,-7.792544,113.195627,1,0,SIRS Kemenkes,2026-LIVE
3509151,RS Umum Universitas Muhammadiyah Jember,Jl. Wolter Monginsidi Nomor 91,0331 5442 222,3509,C,swasta,SWASTA/LAINNYA,RSU,-8.211061,113.702623,1,0,SIRS Kemenkes,2026-LIVE
3521027,RS Umum Daerah Geneng,Jl. Raya Ngawi - Madiun KM. 09,081221223600,3521,D,pemerintah,Pemkab,RSU,-7.491483,111.428953,1,0,SIRS Kemenkes,2026-LIVE
3578811,RS Umum Pusat Surabaya,Jl. Indrapura No.17,1500056,3578,A,pemerintah,Kemkes,RSU,-7.253471,112.728608,1,0,SIRS Kemenkes,2026-LIVE
3508071,RS Nahdlatul Ulama Permata,JL. MUSI NO 9-9B,08113780316,3508,D,swasta,Organisasi Islam,RSU,-8.122273,113.232608,1,0,SIRS Kemenkes,2026-LIVE
3578812,RS Ibu dan Anak Adi Guna,Jl. Alun-alun Rangkah no. 1-3,082139139082,3578,C,swasta,Perorangan,RSIA,-7.249101,112.764791,1,0,SIRS Kemenkes,2026-LIVE
3521028,RS Umum Daerah Mantingan,Jl. Raya Ngawi - Mantingan KM 1,03514475655,3521,D,pemerintah,Pemkab,RSU,-7.359693,111.15561,1,0,SIRS Kemenkes,2026-LIVE
3577098,RS Umum Darmayu Madiun,Jl. Kapten Tendean No. 47,0351-4109999,3577,C,swasta,SWASTA/LAINNYA,RSU,-7.660522,111.530431,1,0,SIRS Kemenkes,2026-LIVE
3524074,RS An-Noor Medika Lamongan,Jl Andansari No 1,085742211279,3524,D,swasta,Perusahaan,RSU,-7.117681,112.413461,1,0,SIRS Kemenkes,2026-LIVE
3524075,RS Mata KMU Lamongan,"Jl. Raya No. 181, Plosowahyu",081222213216,3524,C,swasta,Perusahaan,RSK Mata,-7.105621,112.386383,1,0,SIRS Kemenkes,2026-LIVE
3573277,RS Ibu dan Anak Mitra Mulia,Jl. Pahlawan Trip A10,081333666651,3573,C,swasta,Perorangan,RSIA,-7.967588,112.621784,1,0,SIRS Kemenkes,2026-LIVE
3507261,RS Umum Cahaya Medika,Jl. Kelud Nomor 05,+6281547514779,3507,D,swasta,SWASTA/LAINNYA,RSU,-8.211428,112.637773,1,0,SIRS Kemenkes,2026-LIVE
